NRI_ID,State,County,HRCN 2024,RFLD 2024,Combined 2024
C01053,AL,Escambia,95.4688201,60.54724785,78.00803398
C45043,SC,Georgetown,97.35307313,73.56029271,85.45668292
C12081,FL,Manatee,99.19246299,75.08749602,87.13997951
C10005,DE,Sussex,95.10991476,68.34234808,81.72613142
C22055,LA,Lafayette,97.6671153,99.84091632,98.75401581
C12083,FL,Marion,97.26334679,89.21412663,93.23873671
C34009,NJ,Cape May,91.11709287,92.42761693,91.7723549
C12057,FL,Hillsborough,99.82054733,77.21921731,88.51988232
C22053,LA,Jefferson Davis,92.41812472,95.45020681,93.93416576
C12131,FL,Walton,97.12875729,87.33693923,92.23284826
C36081,NY,Queens,97.21848362,93.4775692,95.34802641
C42043,PA,Dauphin,86.13728129,98.6636971,92.4004892
C45075,SC,Orangeburg,95.19964109,74.3557111,84.7776761
C12115,FL,Sarasota,99.32705249,44.32071269,71.82388259
C22099,LA,St. Martin,92.23867205,98.25007954,95.2443758
C22109,LA,Terrebonne,97.89143114,94.11390391,96.00266752
C48177,TX,Gonzales,83.98384926,98.72733058,91.35558992
C22105,LA,Tangipahoa,96.99416779,99.23639835,98.11528307
C22089,LA,St. Charles,92.10408255,95.06840598,93.58624426
C15001,HI,Hawaii,82.18932257,95.73655743,88.96294
C12109,FL,St. Johns,96.00717811,93.70028635,94.85373223
C22057,LA,Lafourche,96.81471512,68.21508113,82.51489813
C36047,NY,Kings,97.8017048,98.50461343,98.15315911
C12053,FL,Hernando,97.5325258,79.12822144,88.33037362
C12095,FL,Orange,99.05787349,85.49156857,92.27472103
C48123,TX,DeWitt,86.31673396,98.28189628,92.29931512
C42089,PA,Monroe,81.29205922,96.02290805,88.65748363
C22101,LA,St. Mary,96.72498878,96.7865097,96.75574924
C12087,FL,Monroe,97.9362943,92.36398346,95.15013888
C13121,GA,Fulton,80.52938537,96.6910595,88.61022244
C22045,LA,Iberia,95.02018843,98.75914731,96.88966787
C22001,LA,Acadia,93.09107223,97.70919504,95.40013363
C36105,NY,Sullivan,80.79856438,97.16831053,88.98343745
C12105,FL,Polk,98.65410498,96.75469297,97.70439897
C37049,NC,Craven,98.0708838,57.84282533,77.95685457
C22113,LA,Vermilion,91.74517721,98.21826281,94.98172001
C01073,AL,Jefferson,79.85643786,99.5545657,89.70550178
C48029,TX,Bexar,87.61776581,99.26821508,93.44299045
C37147,NC,Pitt,96.27635711,52.56124722,74.41880216
C37019,NC,Brunswick,98.38492598,88.60960865,93.49726731
C11001,DC,District of Columbia,88.8739345,95.89564111,92.3847878
C37051,NC,Cumberland,93.98833558,95.76837416,94.87835487
C42079,PA,Luzerne,77.97218484,97.99554566,87.98386525
C42069,PA,Lackawanna,76.76087932,96.56379255,86.66233594
C37141,NC,Pender,96.63526245,74.45116131,85.54321188
C48439,TX,Tarrant,77.20951099,97.10467706,87.15709403
C48469,TX,Victoria,95.28936743,93.76391982,94.52664363
C48453,TX,Travis,82.68281741,98.63188037,90.65734889
C48199,TX,Hardin,85.68864962,95.8001909,90.74442026
C12001,FL,Alachua,95.91745177,85.45975183,90.6886018
C15007,HI,Kauai,75.01121579,95.92745784,85.46933682
C37047,NC,Columbus,94.88559892,86.28698696,90.58629294
C37017,NC,Bladen,94.79587259,87.27330576,91.03458917
C24510,MD,Baltimore,95.51368327,76.39198218,85.95283272
C45079,SC,Richland,93.1359354,94.59115495,93.86354517
C36005,NY,Bronx,96.05204127,98.5682469,97.31014409
C37155,NC,Robeson,96.09690444,79.66910595,87.8830052
C12011,FL,Broward,99.91027367,94.55933821,97.23480594
C48157,TX,Fort Bend,99.23732616,99.45911549,99.34822082
C12027,FL,DeSoto,95.15477793,64.39707286,79.77592539
C48481,TX,Wharton,93.85374607,95.67292396,94.76333502
C37191,NC,Wayne,95.96231494,98.47279669,97.21755582
C36007,NY,Broome,74.74203679,97.86827871,86.30515775
C45051,SC,Horry,99.55136833,91.18676424,95.36906628
C22097,LA,St. Landry,91.47599821,98.40916322,94.94258071
C22019,LA,Calcasieu,97.44279946,99.39548202,98.41914074
C12097,FL,Osceola,96.41094661,93.22303532,94.81699096
C12117,FL,Seminole,96.85957829,32.23035317,64.54496573
C37055,NC,Dare,97.57738896,92.55488387,95.06613642
C37031,NC,Carteret,98.56437865,85.71428571,92.13933218
C22015,LA,Bossier,71.24270974,98.53643016,84.88956995
C37163,NC,Sampson,96.54553611,83.55074769,90.0481419
C48091,TX,Comal,70.43517272,98.95004773,84.69261022
C12103,FL,Pinellas,99.68595783,59.59274578,79.63935181
C48291,TX,Liberty,93.31538807,96.05472479,94.68505643
C45041,SC,Florence,95.6034096,63.85618836,79.72979898
C37013,NC,Beaufort,97.08389412,71.0467706,84.06533236
C48209,TX,Hays,72.27456258,99.33184855,85.80320557
C48361,TX,Orange,94.25751458,99.77728285,97.01739872
C12009,FL,Brevard,99.730821,90.32771238,95.02926669
C22103,LA,St. Tammany,97.84656797,99.74546612,98.79601704
C37061,NC,Duplin,96.32122028,44.35252943,70.33687485
C28091,MS,Marion,86.89995514,95.60929049,91.25462281
C12017,FL,Citrus,97.75684163,87.20967229,92.48325696
C37127,NC,Nash,87.93180799,96.18199173,92.05689986
C28151,MS,Washington,70.52489906,95.70474069,83.11481988
C36025,NY,Delaware,69.98654105,98.37734648,84.18194377
C48187,TX,Guadalupe,72.90264693,99.0136812,85.95816406
C48039,TX,Brazoria,98.51951548,99.93636653,99.227941
C28067,MS,Jones,90.21982952,89.88227808,90.0510538
C42015,PA,Bradford,69.40331987,96.30925867,82.85628927
C48085,TX,Collin,67.11529834,95.32293987,81.2191191
C12005,FL,Bay,98.74383131,94.9093223,96.82657681
C37107,NC,Lenoir,95.3342306,90.42316258,92.87869659
C12021,FL,Collier,99.50650516,94.65478842,97.08064679
C47157,TN,Shelby,72.09510991,99.87273306,85.98392149
C48489,TX,Willacy,89.1431135,95.54565702,92.34438526
C37021,NC,Buncombe,66.57694033,96.43652561,81.50673297
C42039,PA,Crawford,66.17317183,95.3547566,80.76396421
C28059,MS,Jackson,97.48766263,94.30480433,95.89623348
C28075,MS,Lauderdale,83.08658591,96.50015908,89.7933725
C48339,TX,Montgomery,95.82772544,99.14094814,97.48433679
C39155,OH,Trumbull,65.54508748,95.57747375,80.56128062
C48493,TX,Wilson,63.03275011,96.62742603,79.83008807
C22051,LA,Jefferson,98.96814715,95.48202354,97.22508535
C37129,NC,New Hanover,99.37191566,58.98822781,79.18007173
C48463,TX,Uvalde,62.80843428,95.03658925,78.92251176
C54039,WV,Kanawha,64.33378197,97.32739421,80.83058809
C48349,TX,Navarro,61.19336025,96.81832644,79.00584335
C36017,NY,Chenango,61.05877075,96.27744193,78.66810634
C12033,FL,Escambia,98.92328398,95.83200764,97.37764581
C48427,TX,Starr,76.94033199,97.77282851,87.35658025
C28049,MS,Hinds,82.86227008,98.18644607,90.52435807
C26163,MI,Wayne,64.1543293,99.49093223,81.82263076
C05069,AR,Jefferson,60.47554957,95.2593064,77.86742798
C36107,NY,Tioga,58.23239121,97.20012727,77.71625924
C48055,TX,Caldwell,59.84746523,97.61374483,78.73060503
C48465,TX,Val Verde,58.41184388,97.58192809,77.99688599
C47037,TN,Davidson,59.39883356,99.68183264,79.5403331
C48321,TX,Matagorda,94.75100942,88.25962456,91.50531699
C26099,MI,Macomb,59.66801256,96.97741012,78.32271134
C48215,TX,Hidalgo,99.28218932,98.02736239,98.65477586
C37065,NC,Edgecombe,84.88111261,95.13203945,90.00657603
C39049,OH,Franklin,57.42485419,96.08654152,76.75569786
C17031,IL,Cook,62.18034993,99.17276487,80.6765574
C05145,AR,White,54.06011664,95.64110722,74.85061193
C40109,OK,Oklahoma,55.00224316,97.39102768,76.19663542
C48053,TX,Burnet,52.71422162,97.04104359,74.87763261
C12085,FL,Martin,98.16061014,59.11549475,78.63805244
C28047,MS,Harrison,98.25033647,64.61979001,81.43506324
C48355,TX,Nueces,98.29519964,3.913458479,51.10432906
C29189,MO,St. Louis,53.52175864,96.53197582,75.02686723
C48245,TX,Jefferson,97.71197847,99.61819917,98.66508882
C01097,AL,Mobile,99.41677882,97.51829462,98.46753672
C12127,FL,Volusia,98.20547331,95.38657334,96.79602332
C48167,TX,Galveston,98.34006281,99.96818326,99.15412304
C54047,WV,McDowell,49.12516824,95.19567292,72.16042058
C12015,FL,Charlotte,98.11574697,91.88673242,95.0012397
C48303,TX,Lubbock,45.58097802,97.93191219,71.7564451
C21111,KY,Jefferson,45.62584118,97.83646198,71.73115158
C12086,FL,Miami-Dade,99.95513683,99.80909959,99.88211821
C48299,TX,Llano,43.74158816,95.29112313,69.51635564
C12061,FL,Indian River,98.47465231,82.97804645,90.72634938
C35025,NM,Lea,40.78061911,97.80464524,69.29263218
C48141,TX,El Paso,44.27994616,98.88641425,71.58318021
C48049,TX,Brown,42.48541947,95.10022272,68.79282109
C29091,MO,Howell,40.55630328,96.46834235,68.51232281
C04019,AZ,Pima,40.19739794,97.35921094,68.77830444
C12071,FL,Lee,99.77568416,99.1091314,99.44240778
C12111,FL,St. Lucie,99.14759982,93.00031817,96.07395899
C48061,TX,Cameron,98.83355765,99.20458161,99.01906963
C35035,NM,Otero,28.30865859,96.91377665,62.61121762
C06065,CA,Riverside,27.18707941,98.91823099,63.0526552
C06073,CA,San Diego,25.34768955,96.88195991,61.11482473
C12099,FL,Palm Beach,99.8654105,96.40470888,98.13505969
C22071,LA,Orleans,98.42978914,38.72096723,68.57537819
C29119,MO,McDonald,17.7209511,95.00477251,56.3628618
C19113,IA,Linn,11.52983401,99.07731467,55.30357434
C19103,IA,Johnson,11.03633917,97.96372892,54.50003404
C04012,AZ,La Paz,6.550022432,95.41839007,50.98420625
C04005,AZ,Coconino,0,97.64556157,48.82278078
C06001,CA,Alameda,0,98.1228126,49.0614063
C06007,CA,Butte,0,98.31371301,49.15685651
C06013,CA,Contra Costa,0,96.21380846,48.10690423
C06019,CA,Fresno,0,98.82278078,49.41139039
C06029,CA,Kern,0,99.58638244,49.79319122
C06039,CA,Madera,0,98.79096405,49.39548202
C06041,CA,Marin,0,98.98186446,49.49093223
C06045,CA,Mendocino,0,95.95927458,47.97963729
C06047,CA,Merced,0,96.59560929,48.29780465
C06053,CA,Monterey,0,98.44097996,49.22048998
C06055,CA,Napa,0,97.42284442,48.71142221
C06059,CA,Orange,0,95.99109131,47.99554566
C06071,CA,San Bernardino,0,99.36366529,49.68183264
C06097,CA,Sonoma,0,98.69551384,49.34775692
C06107,CA,Tulare,0,98.15462934,49.07731467
C06111,CA,Ventura,0,99.52274897,49.76137448
C08013,CO,Boulder,0,98.05917913,49.02958956
C08069,CO,Larimer,0,98.85459752,49.42729876
C08123,CO,Weld,0,97.74101177,48.87050589
C31109,NE,Lancaster,0,97.07286032,48.53643016
C32003,NV,Clark,0,96.2456252,48.1228126
C32031,NV,Washoe,0,99.71364938,49.85682469
C35043,NM,Sandoval,0,96.11835826,48.05917913
C38017,ND,Cass,0,97.1364938,48.5682469
C38035,ND,Grand Forks,0,96.37289214,48.18644607
C38077,ND,Richland,0,96.65924276,48.32962138
C41019,OR,Douglas,0,97.45466115,48.72733058
C48201,TX,Harris,100,100,100
C49053,UT,Washington,0,99.04549793,49.52274897
